Name,Assign,Estado
Para mínimas para accesibilidad,,Por redactar
Pautas para organizar la estructura del contenido de forma jerárquica,,Por redactar
Valorar volver a un repositorio,,Por redactar
Complementar valores y principios,,Por redactar
Sistema de seguimiento individual,,Por redactar
Definición de roles,,Por redactar
Recopilar tipologías de proyectos backend,,Por redactar
Pautas para proyectos backend,,Redactando
Arquitectura recomendada para los backends,,Por redactar
Plan de actualizaciones para dependencias,,Por redactar
Comentarios en el código,,Por redactar
Etiquetado de tipos en TypeScript,,Por redactar
"Ampliar documentación sobre TypeScript más los temas ",,Por redactar
Ampliar plantilla de Python,,Por redactar
Ampliar documentación sobre las clases CSS,,Por redactar
Ampliar documentación sobre Tailwind CSS,,Por redactar
Pautas de trabajo con Next.js,,Por redactar
Plan de migración a TypeScript,,Por redactar
Mejorar la documentación sobre pruebas unitarias,,Por redactar
Aclarar jerarquía de componentes,,Por redactar
Librerías de terceros recomendadas,,Por redactar
Rutas de navegación,,Por redactar
Comunicación con servicios,,Por redactar
Gestión de formularios,,Por redactar
Uso de hooks,,Por redactar
Aplicación de estilos en componentes de React,,Por redactar
Detallas más las tipologías de proyectos,,Por redactar
Pautas para React Native,,Por redactar
Pautas para Expo,,Por redactar
Mejorar documentación sobre Tailwind CSS,,Redactado
Terminar primer borrador,,Redactado
